Trade_ID,Side,Result,Entry_Time,Reversal_Time,Is_False_Loser,PnL,ENTRY_RSI_1m,ENTRY_BB_Pos_1m,ENTRY_RSI_Slope_1m,ENTRY_RSI_5m,ENTRY_BB_Pos_5m,ENTRY_RSI_Slope_5m,ENTRY_RSI_15m,ENTRY_BB_Pos_15m,ENTRY_RSI_Slope_15m,ENTRY_RSI_1h,ENTRY_BB_Pos_1h,ENTRY_RSI_Slope_1h,REV_RSI_1m,REV_BB_Pos_1m,REV_RSI_Slope_1m,REV_RSI_5m,REV_BB_Pos_5m,REV_RSI_Slope_5m,REV_RSI_15m,REV_BB_Pos_15m,REV_RSI_Slope_15m,REV_RSI_1h,REV_BB_Pos_1h,REV_RSI_Slope_1h
202412140025,SHORT,LOSS,2024-12-14 00:25:00,,False,-0.02,100.0,0.5,0.0,100.0,0.5,0.0,100.0,0.5,0.0,100.0,0.5,0.0,,,,,,,,,,,,
202412151755,SHORT,LOSS,2024-12-15 17:55:00,,False,-0.02,100.0,1.2310095758606676,0.0,100.0,1.2310095758606676,0.0,100.0,1.5621322893123946,0.0,100.0,1.5621322893123946,0.0,,,,,,,,,,,,
202412171245,SHORT,WIN,2024-12-17 12:45:00,,False,0.015,100.0,1.3412284906527563,0.0,100.0,1.3412284906527612,0.0,100.0,1.3412284906527612,0.0,99.51923076923066,1.5452935099331113,94.97377622377518,,,,,,,,,,,,
202412172030,LONG,LOSS,2024-12-17 20:30:00,,False,-0.02,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,49.878934624697315,0.39744371202185086,-0.12106537530268469,,,,,,,,,,,,
202412180403,LONG,WIN,2024-12-18 04:03:00,,False,0.015,0.0,-0.23100957586064488,0.0,0.0,-0.5621322893123141,0.0,0.0,-0.5621322893123509,0.0,0.0,-0.365666816643564,-50.0,,,,,,,,,,,,
202412190515,SHORT,WIN,2024-12-19 05:15:00,,False,0.015,100.0,1.231009575861007,0.0,100.0,1.231009575861007,0.0,100.0,1.2310095758613542,0.0,100.0,1.5621322893137317,0.0,,,,,,,,,,,,
202412191745,LONG,LOSS,2024-12-19 17:45:00,,False,-0.02,0.0,-0.23100957586067467,0.0,0.0,-0.23100957586067467,0.0,0.0,-0.23100957586067802,0.0,7.954545454545453,-0.5429718950307745,-92.04545454545455,,,,,,,,,,,,
202412201058,LONG,WIN,2024-12-20 10:58:00,,False,0.015,0.0,-0.23100957586192308,0.0,0.0,-0.56213228931583,0.0,0.0,-0.5621322893177103,0.0,0.0,0.3183558394700769,0.0,,,,,,,,,,,,
202412211602,SHORT,LOSS,2024-12-21 16:02:00,,False,-0.02,100.0,1.2310095758609312,0.0,100.0,1.562132289313118,0.0,100.0,1.5621322893135183,0.0,100.0,1.562132289313115,0.0,,,,,,,,,,,,
202412231540,SHORT,LOSS,2024-12-23 15:40:00,,False,-0.02,100.0,1.231009575860843,0.0,99.61449498843476,1.2310000575263966,99.61449498843476,99.61449498843476,1.562124299358043,99.61449498843476,100.0,1.5621322893128728,0.0,,,,,,,,,,,,
202412231732,SHORT,LOSS,2024-12-23 17:32:00,,False,-0.02,100.0,1.231009575860808,0.0,100.0,1.5621322893127227,0.0,99.80079681274896,1.1025625588371832,0.1863018243141994,100.0,1.3509193195598608,0.0,,,,,,,,,,,,
202412232158,SHORT,LOSS,2024-12-23 21:58:00,2024-12-23 23:13:00,True,-0.02,100.0,1.2310095758609596,0.0,100.0,1.5621322893125997,0.0,100.0,0.9356316809502346,0.0,100.0,1.0018332803678047,0.0,100.0,1.5621322893126786,0.0,100.0,1.2319478783615878,0.0,100.0,1.3008046435687817,0.0,100.0,1.0156552221891841,0.0
202412232314,SHORT,WIN,2024-12-23 23:14:00,,False,0.015,100.0,1.23100957586077,0.0,100.0,1.2319478783615878,0.0,100.0,1.3008046435687817,0.0,100.0,1.0156552221891841,0.0,,,,,,,,,,,,
202412240231,LONG,WIN,2024-12-24 02:31:00,,False,0.015,0.0,-0.2310095758606959,0.0,0.0,-0.5621322893123298,0.0,0.0,-0.11360916957761509,-100.0,72.18031768568642,0.6302410352209153,-27.81968231431358,,,,,,,,,,,,
202412272016,SHORT,WIN,2024-12-27 20:16:00,,False,0.015,100.0,0.5,0.0,100.0,0.5,-50.0,0.0,0.5,0.0,0.0,0.5,0.0,,,,,,,,,,,,
202412290910,LONG,LOSS,2024-12-29 09:10:00,,False,-0.02,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,,,,,,,,,,,,
